Position,Const,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Directors
37,tt2380307,Coco,https://www.imdb.com/title/tt2380307/,movie,8.4,105,2017,"Animation, Adventure, Drama, Family, Fantasy, Music, Mystery",563233,"Adrian Molina, Lee Unkrich"
5,tt3315342,Logan,https://www.imdb.com/title/tt3315342/,movie,8.1,137,2017,"Action, Drama, Sci-Fi, Thriller",809139,James Mangold
33,tt1856101,Blade Runner 2049,https://www.imdb.com/title/tt1856101/,movie,8,164,2017,"Action, Drama, Mystery, Sci-Fi, Thriller",631025,Denis Villeneuve
1,tt3501632,Thor: Ragnarok,https://www.imdb.com/title/tt3501632/,movie,7.9,130,2017,"Action, Adventure, Comedy, Fantasy, Sci-Fi",797462,Taika Waititi
24,tt4468740,Paddington 2,https://www.imdb.com/title/tt4468740/,movie,7.8,103,2017,"Adventure, Comedy, Family, Fantasy",88433,Paul King
57,tt5013056,Dunkirk,https://www.imdb.com/title/tt5013056/,movie,7.8,106,2017,"Action, Drama, History, Thriller, War",716918,Christopher Nolan
61,tt5052448,Get Out,https://www.imdb.com/title/tt5052448/,movie,7.8,104,2017,"Horror, Mystery, Thriller",669100,Jordan Peele
84,tt5362988,Wind River,https://www.imdb.com/title/tt5362988/,movie,7.7,107,2017,"Crime, Drama, Mystery, Thriller, Western",271371,Taylor Sheridan
3,tt3896198,Guardians of the Galaxy Vol. 2,https://www.imdb.com/title/tt3896198/,movie,7.6,136,2017,"Action, Adventure, Comedy, Sci-Fi",740476,James Gunn
58,tt3890160,Baby Driver,https://www.imdb.com/title/tt3890160/,movie,7.6,113,2017,"Action, Crime, Drama, Music",587206,Edgar Wright
96,tt5580036,"I, Tonya",https://www.imdb.com/title/tt5580036/,movie,7.5,119,2017,"Biography, Comedy, Drama, Sport",235678,Craig Gillespie
2,tt0451279,Wonder Woman,https://www.imdb.com/title/tt0451279/,movie,7.4,141,2017,"Action, Adventure, Fantasy, Sci-Fi, War",687491,Patty Jenkins
12,tt3450958,War for the Planet of the Apes,https://www.imdb.com/title/tt3450958/,movie,7.4,140,2017,"Action, Adventure, Drama, Sci-Fi, Thriller",273317,Matt Reeves
14,tt2250912,Spider-Man: Homecoming,https://www.imdb.com/title/tt2250912/,movie,7.4,133,2017,"Action, Adventure, Sci-Fi",700433,Jon Watts
34,tt4425200,John Wick: Chapter 2,https://www.imdb.com/title/tt4425200/,movie,7.4,122,2017,"Action, Crime, Thriller",495529,Chad Stahelski
68,tt4209788,Molly's Game,https://www.imdb.com/title/tt4209788/,movie,7.4,140,2017,"Biography, Crime, Drama, Sport",183235,Aaron Sorkin
15,tt4116284,The Lego Batman Movie,https://www.imdb.com/title/tt4116284/,movie,7.3,104,2017,"Animation, Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",167600,Chris McKay
32,tt1396484,It,https://www.imdb.com/title/tt1396484/,movie,7.3,135,2017,Horror,589302,Andy Muschietti
70,tt4633690,Shot Caller,https://www.imdb.com/title/tt4633690/,movie,7.3,121,2017,"Crime, Drama, Thriller",93708,Ric Roman Waugh
79,tt4846232,Good Time,https://www.imdb.com/title/tt4846232/,movie,7.3,102,2017,"Crime, Drama, Thriller",134675,"Josh Safdie, Benny Safdie"
87,tt3521126,The Disaster Artist,https://www.imdb.com/title/tt3521126/,movie,7.3,104,2017,"Biography, Comedy, Drama",161459,James Franco
98,tt5301662,Marshall,https://www.imdb.com/title/tt5301662/,movie,7.3,118,2017,"Biography, Crime, Drama, History",26065,Reginald Hudlin
16,tt2771200,Beauty and the Beast,https://www.imdb.com/title/tt2771200/,movie,7.1,129,2017,"Adventure, Family, Fantasy, Musical, Romance",327267,Bill Condon
71,tt4899370,Megan Leavey,https://www.imdb.com/title/tt4899370/,movie,7.1,116,2017,"Action, Biography, Drama, History, War",25653,Gabriela Cowperthwaite
76,tt3532216,American Made,https://www.imdb.com/title/tt3532216/,movie,7.1,115,2017,"Action, Comedy, Crime, Drama",201601,Doug Liman
102,tt1653665,Goodbye Christopher Robin,https://www.imdb.com/title/tt1653665/,movie,7.1,107,2017,"Biography, Drama, Family",29236,Simon Curtis
72,tt5439796,Logan Lucky,https://www.imdb.com/title/tt5439796/,movie,7,118,2017,"Action, Comedy, Crime, Drama",159039,Steven Soderbergh
89,tt6225520,The Man Who Invented Christmas,https://www.imdb.com/title/tt6225520/,movie,7,104,2017,"Biography, Comedy, Drama",17699,Bharat Nalluri
90,tt1615160,The Foreigner,https://www.imdb.com/title/tt1615160/,movie,7,113,2017,"Action, Thriller",121018,Martin Campbell
10,tt2527336,Star Wars: Episode VIII - The Last Jedi,https://www.imdb.com/title/tt2527336/,movie,6.9,152,2017,"Action, Adventure, Fantasy, Sci-Fi",659657,Rian Johnson
30,tt2283362,Jumanji: Welcome to the Jungle,https://www.imdb.com/title/tt2283362/,movie,6.9,119,2017,"Action, Adventure, Comedy, Fantasy",408403,Jake Kasdan
40,tt1959563,The Hitman's Bodyguard,https://www.imdb.com/title/tt1959563/,movie,6.9,118,2017,"Action, Comedy, Crime, Thriller",242372,Patrick Hughes
97,tt6018306,Last Flag Flying,https://www.imdb.com/title/tt6018306/,movie,6.9,125,2017,"Comedy, Drama, War",27302,Richard Linklater
75,tt6265828,A Ghost Story,https://www.imdb.com/title/tt6265828/,movie,6.8,92,2017,"Drama, Fantasy, Mystery, Romance",77517,David Lowery
99,tt5294550,All the Money in the World,https://www.imdb.com/title/tt5294550/,movie,6.8,132,2017,"Biography, Crime, Drama, Mystery, Thriller",89141,Ridley Scott
11,tt3731562,Kong: Skull Island,https://www.imdb.com/title/tt3731562/,movie,6.7,118,2017,"Action, Adventure, Fantasy, Sci-Fi",337395,Jordan Vogt-Roberts
26,tt4649466,Kingsman: The Golden Circle,https://www.imdb.com/title/tt4649466/,movie,6.7,141,2017,"Action, Adventure, Comedy, Crime, Thriller",352780,Matthew Vaughn
53,tt1972591,King Arthur: Legend of the Sword,https://www.imdb.com/title/tt1972591/,movie,6.7,126,2017,"Action, Adventure, Drama, Fantasy",227829,Guy Ritchie
56,tt2406566,Atomic Blonde,https://www.imdb.com/title/tt2406566/,movie,6.7,115,2017,"Action, Thriller",203119,David Leitch
81,tt3411444,Ferdinand,https://www.imdb.com/title/tt3411444/,movie,6.7,108,2017,"Animation, Adventure, Comedy, Drama, Family",61913,Carlos Saldanha
82,tt3758172,Jungle,https://www.imdb.com/title/tt3758172/,movie,6.7,115,2017,"Action, Adventure, Biography, Drama, Thriller",61375,Greg McLean
18,tt4630562,The Fate of the Furious,https://www.imdb.com/title/tt4630562/,movie,6.6,136,2017,"Action, Crime, Thriller",248314,F. Gary Gray
47,tt2568862,Going in Style,https://www.imdb.com/title/tt2568862/,movie,6.6,96,2017,"Comedy, Crime",89903,Zach Braff
48,tt5442430,Life,https://www.imdb.com/title/tt5442430/,movie,6.6,104,2017,"Horror, Sci-Fi, Thriller",246206,Daniel Espinosa
69,tt5109784,Mother!,https://www.imdb.com/title/tt5109784/,movie,6.6,121,2017,"Drama, Horror, Mystery",243221,Darren Aronofsky
83,tt5962210,Ingrid Goes West,https://www.imdb.com/title/tt5962210/,movie,6.6,98,2017,"Comedy, Drama",47072,Matt Spicer
85,tt5308322,Happy Death Day,https://www.imdb.com/title/tt5308322/,movie,6.6,96,2017,"Comedy, Horror, Mystery, Thriller",157824,Christopher Landon
92,tt4738174,Bon Cop Bad Cop 2,https://www.imdb.com/title/tt4738174/,movie,6.6,126,2017,"Action, Comedy, Crime",4350,Alain Desrochers
8,tt1790809,Pirates of the Caribbean: Dead Men Tell No Tales,https://www.imdb.com/title/tt1790809/,movie,6.5,129,2017,"Action, Adventure, Fantasy",335184,"Espen Sandberg, Joachim Rønning"
38,tt5140878,Annabelle: Creation,https://www.imdb.com/title/tt5140878/,movie,6.5,109,2017,"Horror, Mystery, Thriller",147484,David F. Sandberg
25,tt2316204,Alien: Covenant,https://www.imdb.com/title/tt2316204/,movie,6.4,122,2017,"Horror, Sci-Fi, Thriller",295935,Ridley Scott
41,tt2239822,Valerian and the City of a Thousand Planets,https://www.imdb.com/title/tt2239822/,movie,6.4,136,2017,"Action, Adventure, Fantasy, Sci-Fi",193028,Luc Besson
46,tt3922818,The Space Between Us,https://www.imdb.com/title/tt3922818/,movie,6.4,120,2017,"Drama, Romance, Sci-Fi",55486,Peter Chelsom
